Row,test,total_changed_90,description_length,total_methods,total_token,total_added_lines,dmm_unit_interfacing,TokenDensity,GunningFog,LexicalDiversity
OpenStack_6967,0,15,0,0,0,2,0.5,6.987913603,30.11764706,6.85042735
OpenStack_4573,1,6,0,998,14,2,0,8.00407441,36.63157895,6.608391608
OpenStack_4948,0,4,0,0,0,0,0,7.11238265,23.29411765,7.047826087
OpenStack_6893,0,0,0,0,0,0,0,8.968882564,32.82352941,6.744966443
OpenStack_3971,1,27,1,10134,137,55,3.317961133,16.754362,66.7027027,5.85828877
OpenStack_2051,0,1,0,24,1,1,0,6.880067711,24.52941176,7.171945701
OpenStack_4298,0,8,0,0,0,2,0,5.237755102,23.33333333,7.252964427
OpenStack_4106,2,0,3,293,5,0,0.795723969,110.1506693,308.4736842,8.227120908
OpenStack_4374,0,85,0,41,0,10,1.028320834,6.757640694,28.65217391,6.540540541
OpenStack_5030,0,3,0,0,0,0,0,8.426761134,27.36842105,6.68013468
OpenStack_5193,0,6,0,0,0,2,0,7.090894551,25.52941176,6.995633188
OpenStack_3638,0,1,0,0,0,2,0,6.402302632,24.54166667,5.972477064
OpenStack_299,0,13,0,0,0,65,2.016719106,45.59608611,150.1176471,5.994047619
OpenStack_4982,0,88,1,0,0,11,0.46134567,14.17432432,49.33333333,5.078328982
OpenStack_6386,1,24,0,4810,167,18,1.261710082,13.91799879,54.84210526,7.113861386
OpenStack_2922,14,522,3,149691,3725,544,6.481981891,261.5824495,700.8636364,5.853251617
OpenStack_1032,0,5,0,0,0,75,0,13.27140925,49.03333333,6.102290076
OpenStack_4946,1,4,0,1528,56,1,0.414957898,9.016013072,36,6.558718861
OpenStack_6480,0,8,0,2204,62,2,0,7.621724638,31.94444444,6.465949821
OpenStack_438,0,2,0,0,0,7,0,6.559473087,29.95238095,5.942446043
OpenStack_2292,0,4,0,6648,184,2,0,7.981476401,29.76470588,7.240740741
OpenStack_1888,0,95,1,0,0,0,0.634915188,8.692539359,34.3,6.337349398
OpenStack_7415,1,6,0,519,6,2,0,6.122259036,20.75,6.869198312
OpenStack_5178,0,17,0,0,0,27,0,7.815274406,37.9,6.56133829
OpenStack_6261,2,15,0,1676,63,1,0.23686905,8.782723112,36.31578947,6.268370607
